app_name,review,date
Envision AI,This app maybe not detect my our own language which is filipino,2025-03-02 10:31:21
Envision AI,this application is amazing for me specially those who can't,2025-02-23 02:33:56
Envision AI,very slow app,2025-02-17 14:21:51
Envision AI,Very good thanks.,2025-02-03 22:38:36
Envision AI,It is a huge help,2025-02-01 14:26:35
Envision AI,there's a lot of lag,2025-01-19 08:36:38
Envision AI,Envision AI is a best aplication for the blinds please add helpful and useful more features to blinds thank you,2025-01-17 19:24:42
Envision AI,this application is invalid in translate Hindi to English English to Hindi and this application is taking the more time for translation so students can be bore so I requested to you that please take reform and bring more update in this application,2025-01-10 02:57:19
Envision AI,You ruined your app. My experience with it previous version was amazing but this one is useless for me,2025-01-09 10:39:29
Envision AI,"I love this app! Great job! I am noticing the smoothness of the speech at line breaks is a little long, the numbers under a barcode are read as a full number at first but then as individual numbers, there's nothing to let you know how a found item will signal with the beep before it happens, the ai description is accurate. I've only tried those 3 functions so far but I'm excited to try what else it can do. Thanks!",2025-01-09 05:48:40
Envision AI,It easily accessible but now when you reading a nice novel it turns to stop and say it seems like you are living you are reading in a language it does not understand this is so irritating,2025-01-06 01:31:47
Envision AI,red document is processor is very slow,2024-12-22 23:45:27
Envision AI,This app is very excellent reading,2024-12-17 00:43:16
Envision AI,consistently bbest and confertable reader more than family for me. I am forgeting my visual impairment whith help of Envision AI thanks my best.,2024-11-29 10:19:08
Envision AI,I trusted Google too much but I just downloaded ambition AI and found to be the best now I have used other apps but still and vision AI can give five star,2024-11-15 00:43:43
Envision AI,Verry sweetable apps,2024-11-13 23:48:13
Envision AI,my name is aamir Kamalvi this app is very very useful for blind persons,2024-11-10 00:15:49
Envision AI,Hello Invision AI Team There is a problem in the image reader in your PDF reader when we play the document it does not play wow it plays then when it comes to message it stops fix it my phone is Samsung A33 5g android version 14,2024-11-04 02:02:25
Envision AI,"🚨 As of Nov 2024, the AI has deteriorated; very rude, inaccurate & unhelpful! With Meta's new VR glasses which is much more useful, & cost just US$299, everything EnvisionAi tries to sell is obsolete, useless & grossly overpriced at over 10 times! ChatGPT recommended Envision AI to me back in 2023. The dev need to do soul searching, as to how they were at the front-front of AI technology, but is now now a pale shadow & bad joke. A cautionary tale when a tech company puts profits over people!",2024-11-01 15:37:39
Envision AI,"it is good, but sometimes it does not scan full text",2024-11-01 01:48:19
Envision AI,Best Vision Aid in the market,2024-09-30 19:11:05
Envision AI,it is accesabel for visually impaired people. one has to comprehend& get used to it.i ad bise my coleagues to use this type of an application. i hope the developer shall developee & apply more accessable propertis for this application. we also hope to receive some more acccessable applicationss like this one,2024-09-28 16:14:15
